taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
4282894,12382748,GR,,,,,,
9237565,7739497,GR,,,,,,
5273309,5273413,GR,,,,,,
2643093,2643094,GR,,,,,,
10344972,2322214,GR,,,,,,
2656854,2656845,GR,,,,,,
2657657,2657617,GR,,,,,,
12194263,8074783,GR,,,,,,
5329463,5329465,GR,,,,,,
2714158,2714166,GR,,,,,,
4374764,6532399,GR,,,invasive,,,
2702843,2702842,GR,,,,,,
2705162,6449040,GR,,,,,,
7226834,4925410,GR,,,,,,
4135892,4121178,GR,,,,,,
2702820,4119416,GR,,,,,,
9520065,8075198,GR,,,,,,
2750383,2750390,GR,,,,,,
5298079,5298598,GR,,,,,,
2859597,2859569,GR,,,,,,
10906181,4359391,GR,,,,,,
10513850,6075964,GR,,,,,,
2768686,2768693,GR,,,,,,
2223511,4309311,GR,,,,,,
5974552,11104780,GR,,,,,,
2929800,2930922,GR,,,,,,
2930137,2930181,GR,,,,,,
5581168,6402873,GR,,,,,,
5218823,2433652,GR,,,,,,
8149923,3022511,GR,,,,,,
3020980,3022502,GR,,,,,,
10786206,3024146,GR,,,,,,
7504253,2465547,GR,,,,,,
2925870,4058401,GR,,,,,,
6550056,4271342,GR,,,,,,
8350395,5371894,GR,,,,,,
9377860,4284339,GR,,,,,,
7322393,7322394,GR,,,,,,
3188894,3188895,GR,,,,,,
3089178,3089185,GR,,,,,,
11519882,4225550,GR,,,invasive,,,
3088488,3088492,GR,,,,,,
5402361,3140815,GR,,,,,,
4285694,7193195,GR,,,,,,
3117449,8392258,GR,,,,,,
4194303,8436755,GR,,,,,,
2889088,5334293,GR,,,,,,
2889173,5334357,GR,,,,,,
5334351,5334436,GR,,,,,,
8185812,5384309,GR,,,,,,
3083504,3083505,GR,,,,,,
7346102,7333256,GR,,,,,,
3172549,7613490,GR,,,,,,
8252253,4936208,GR,,,,,,
7455425,5667352,GR,,,,,,
8149049,2977331,GR,,,,,,
3974754,2979128,GR,,,,,,
2979265,2979257,GR,,,,,,
10683509,5347854,GR,,,,,,
7068169,2965325,GR,,,,,,
3973001,5350010,GR,,,,,,
8130309,2958650,GR,,,,,,
